id,name,terminalName,lat,long,capacity,EndofDayBikes
253,"Shoreditch Park, Hoxton",1051,51.53404294,-0.086379717,16,10
109,"Soho Square , Soho",1052,51.51563144,-0.132328837,29,18
4,"St. Chad's Street, King's Cross",1013,51.53005939,-0.120973687,12,8
123,"St. John Street, Finsbury",992,51.52836014,-0.104724625,10,6
197,"Stamford Street, South Bank",962,51.50556905,-0.111606696,14,9
148,"Tachbrook Street, Victoria",965,51.49211134,-0.138364847,9,6
85,"Tanner Street, Bermondsey",994,51.50064702,-0.078600401,21,13
19,"Taviton Street, Bloomsbury",1009,51.52505093,-0.131161087,16,10
68,"Theobald's Road , Holborn",975,51.52059681,-0.116688468,14,9
75,"Torrens Street, Angel",1060,51.53219984,-0.105480698,10,6
196,"Union Street, The Borough",961,51.50368837,-0.098497684,9,6
146,"Vauxhall Bridge , Pimlico",1046,51.48836528,-0.129361842,18,11
74,"Vauxhall Cross, Vauxhall",1000,51.48591714,-0.124469948,9,6
134,"Wapping High Street, Wapping",1039,51.504904,-0.06797,11,7
47,"Warwick Avenue Station, Maida Vale",1027,51.52334476,-0.183846408,10,6
316,"Warwick Row, Westminster",968,51.497998,-0.14296064,11,7
110,"Wellington Road, St. John's Wood",1055,51.53304322,-0.172528678,9,6
42,"Wenlock Road , Hoxton",979,51.53099181,-0.093903825,15,9
142,"West Cromwell Road, Earl's Court",1001,51.49372451,-0.198286569,13,8
203,"West Smithfield Rotunda, Farringdon",1040,51.51821864,-0.100791005,8,5
105,"Westbourne Grove, Bayswater",1041,51.51552971,-0.190240716,14,9
64,"William IV Street, Strand",1028,51.50946212,-0.124749274,14,9
30,"Windsor Terrace, Hoxton",1029,51.52915444,-0.093421615,13,8
106,"Woodstock Street, Mayfair",1042,51.51410514,-0.147301667,11,7
175,"Worship Street, Shoreditch",997,51.521668,-0.079608554,26,16
