Origin,Destination,Distance_km
"Albert Embankment, Vauxhall","Tachbrook Street, Victoria",1.0931
"Albert Embankment, Vauxhall","Tanner Street, Bermondsey",3.2641
"Albert Embankment, Vauxhall","Taviton Street, Bloomsbury",3.8922
"Albert Embankment, Vauxhall","Theobald's Road , Holborn",3.3804
"Albert Embankment, Vauxhall","Torrens Street, Angel",4.7963
"Albert Embankment, Vauxhall","Union Street, The Borough",2.2368
"Albert Embankment, Vauxhall","Vauxhall Bridge , Pimlico",0.5089
"Albert Embankment, Vauxhall","Vauxhall Cross, Vauxhall",0.5155
"Albert Embankment, Vauxhall","Wapping High Street, Wapping",4.1229
"Albert Embankment, Vauxhall","Warwick Avenue Station, Maida Vale",5.589
"Albert Embankment, Vauxhall","Warwick Row, Westminster",1.629
"Albert Embankment, Vauxhall","Wellington Road, St. John's Wood",5.8554
"Albert Embankment, Vauxhall","Wenlock Road , Hoxton",4.9333
"Albert Embankment, Vauxhall","West Cromwell Road, Earl's Court",5.2384
"Albert Embankment, Vauxhall","West Smithfield Rotunda, Farringdon",3.4447
"Albert Embankment, Vauxhall","Westbourne Grove, Bayswater",5.438
"Albert Embankment, Vauxhall","William IV Street, Strand",2.1199
"Albert Embankment, Vauxhall","Windsor Terrace, Hoxton",4.7615
"Albert Embankment, Vauxhall","Woodstock Street, Mayfair",3.1307
"Albert Embankment, Vauxhall","Worship Street, Shoreditch",4.5826
"Aldersgate Street, Barbican","Albert Embankment, Vauxhall",3.8129
"Aldersgate Street, Barbican","Aldersgate Street, Barbican",0.0
"Aldersgate Street, Barbican","Ampton Street , Clerkenwell",1.6169
"Aldersgate Street, Barbican","Argyle Street, Kings Cross",2.0728
"Aldersgate Street, Barbican","Bankside Mix, Bankside",1.6822
"Aldersgate Street, Barbican","Bath Street, St. Luke's",0.7192
"Aldersgate Street, Barbican","Bethnal Green Road, Shoreditch",1.5935
"Aldersgate Street, Barbican","Bolsover Street, Fitzrovia",3.2153
"Aldersgate Street, Barbican","Borough High Street, The Borough",2.2487
"Aldersgate Street, Barbican","Boston Place, Marylebone",4.4981
"Aldersgate Street, Barbican","Braham Street, Aldgate",1.8035
"Aldersgate Street, Barbican","British Museum, Bloomsbury",1.9017
"Aldersgate Street, Barbican","Brunswick Square, Bloomsbury",1.7749
"Aldersgate Street, Barbican","Bruton Street, Mayfair",3.4294
