Number,Start date,Start station number,Start station,End date,End station number,End station,Bike number,Bike model,Total duration,Total duration (ms),Start datetime,End datetime
137890897,2024-03-14,988,"Great Russell Street, Bloomsbury",2024-03-14,986,"Finsbury Library , Finsbury",50474,CLASSIC,12m 38s,758722,2024-03-14 23:46:00,2024-03-14 23:58:00
137890761,2024-03-14,1007,"Drury Lane, Covent Garden",2024-03-14,991,"Crosswall, Tower",58638,CLASSIC,15m 18s,918965,2024-03-14 23:22:00,2024-03-14 23:38:00
137890723,2024-03-14,973,"Bethnal Green Road, Shoreditch",2024-03-14,973,"Bethnal Green Road, Shoreditch",53657,CLASSIC,1m 13s,73786,2024-03-14 23:17:00,2024-03-14 23:18:00
137890677,2024-03-14,1009,"Taviton Street, Bloomsbury",2024-03-14,1005,"Eversholt Street , Camden Town",53854,CLASSIC,4m 11s,251245,2024-03-14 23:12:00,2024-03-14 23:17:00
137890419,2024-03-14,960,"Hop Exchange, The Borough",2024-03-14,962,"Stamford Street, South Bank",59321,CLASSIC,6m 21s,381862,2024-03-14 22:46:00,2024-03-14 22:52:00
137890398,2024-03-14,960,"Hop Exchange, The Borough",2024-03-14,962,"Stamford Street, South Bank",59788,CLASSIC,8m 2s,482351,2024-03-14 22:44:00,2024-03-14 22:52:00
137890014,2024-03-14,1005,"Eversholt Street , Camden Town",2024-03-14,985,"Hatton Garden, Holborn",16580,CLASSIC,12m 29s,749516,2024-03-14 22:11:00,2024-03-14 22:23:00
137889966,2024-03-14,983,"Euston Road, Euston",2024-03-14,1010,"Cartwright Gardens , Bloomsbury",30283,CLASSIC,5m 56s,356688,2024-03-14 22:07:00,2024-03-14 22:13:00
137889960,2024-03-14,981,"British Museum, Bloomsbury",2024-03-14,981,"British Museum, Bloomsbury",21496,CLASSIC,49s,49661,2024-03-14 22:06:00,2024-03-14 22:07:00
137889852,2024-03-14,971,"Godliman Street, St. Paul's",2024-03-14,1004,"Doric Way , Somers Town",19973,CLASSIC,12m 49s,769176,2024-03-14 21:57:00,2024-03-14 22:10:00
137889818,2024-03-14,981,"British Museum, Bloomsbury",2024-03-14,981,"British Museum, Bloomsbury",21496,CLASSIC,39s,39355,2024-03-14 21:54:00,2024-03-14 21:55:00
137889746,2024-03-14,984,"Finsbury Circus, Liverpool Street",2024-03-14,996,"Borough High Street, The Borough",20126,CLASSIC,8m 34s,514929,2024-03-14 21:48:00,2024-03-14 21:57:00
137889748,2024-03-14,1004,"Doric Way , Somers Town",2024-03-14,972,"Hampstead Road, Euston",55070,CLASSIC,4m 47s,287517,2024-03-14 21:49:00,2024-03-14 21:53:00
137889681,2024-03-14,980,"Malet Street, Bloomsbury",2024-03-14,995,"Little Argyll Street, West End",21173,CLASSIC,10m 49s,649234,2024-03-14 21:43:00,2024-03-14 21:54:00
137889669,2024-03-14,966,"New Kent Road, The Borough",2024-03-14,966,"New Kent Road, The Borough",56144,CLASSIC,1m 14s,74649,2024-03-14 21:43:00,2024-03-14 21:44:00
137889540,2024-03-14,993,"Drummond Street , Euston",2024-03-14,976,"Longford Street, The Regent's Park",59883,CLASSIC,2m 34s,154418,2024-03-14 21:31:00,2024-03-14 21:34:00
137889496,2024-03-14,978,"Russell Square Station, Bloomsbury",2024-03-14,980,"Malet Street, Bloomsbury",54849,CLASSIC,3m 32s,212962,2024-03-14 21:28:00,2024-03-14 21:32:00
137889471,2024-03-14,1009,"Taviton Street, Bloomsbury",2024-03-14,1005,"Eversholt Street , Camden Town",16580,CLASSIC,4m 52s,292282,2024-03-14 21:26:00,2024-03-14 21:31:00
137889080,2024-03-14,985,"Hatton Garden, Holborn",2024-03-14,985,"Hatton Garden, Holborn",21480,CLASSIC,19s,19161,2024-03-14 20:58:00,2024-03-14 20:58:00
137889066,2024-03-14,1011,"Argyle Street, Kings Cross",2024-03-14,1010,"Cartwright Gardens , Bloomsbury",42252,CLASSIC,6m 19s,379385,2024-03-14 20:57:00,2024-03-14 21:04:00
137888983,2024-03-14,968,"Warwick Row, Westminster",2024-03-14,965,"Tachbrook Street, Victoria",30450,CLASSIC,4m 40s,280921,2024-03-14 20:50:00,2024-03-14 20:55:00
137888989,2024-03-14,964,"Bath Street, St. Luke's",2024-03-14,1008,"Hatton Wall, Holborn",59349,CLASSIC,6m 20s,380563,2024-03-14 20:50:00,2024-03-14 20:57:00
137888968,2024-03-14,966,"New Kent Road, The Borough",2024-03-14,994,"Tanner Street, Bermondsey",55210,CLASSIC,4m 43s,283859,2024-03-14 20:49:00,2024-03-14 20:53:00
137888884,2024-03-14,974,"Guilford Street , Bloomsbury",2024-03-14,974,"Guilford Street , Bloomsbury",11763,CLASSIC,25s,25400,2024-03-14 20:44:00,2024-03-14 20:44:00
137888843,2024-03-14,1008,"Hatton Wall, Holborn",2024-03-14,982,"Holborn Circus, Holborn",50210,CLASSIC,8m 39s,519294,2024-03-14 20:42:00,2024-03-14 20:50:00
137888791,2024-03-14,985,"Hatton Garden, Holborn",2024-03-14,985,"Hatton Garden, Holborn",54143,CLASSIC,22m 44s,1364192,2024-03-14 20:39:00,2024-03-14 21:02:00
137888731,2024-03-14,975,"Theobald's Road , Holborn",2024-03-14,1008,"Hatton Wall, Holborn",59123,CLASSIC,2m 44s,164053,2024-03-14 20:36:00,2024-03-14 20:38:00
137888642,2024-03-14,999,"Queen Street 1, Bank",2024-03-14,999,"Queen Street 1, Bank",30643,CLASSIC,2s,2836,2024-03-14 20:30:00,2024-03-14 20:30:00
137888523,2024-03-14,974,"Guilford Street , Bloomsbury",2024-03-14,985,"Hatton Garden, Holborn",11499,CLASSIC,6m 21s,381929,2024-03-14 20:24:00,2024-03-14 20:30:00
137888425,2024-03-14,973,"Bethnal Green Road, Shoreditch",2024-03-14,979,"Wenlock Road , Hoxton",53366,CLASSIC,11m 18s,678046,2024-03-14 20:19:00,2024-03-14 20:31:00
137888267,2024-03-14,984,"Finsbury Circus, Liverpool Street",2024-03-14,999,"Queen Street 1, Bank",22476,CLASSIC,7m 9s,429374,2024-03-14 20:11:00,2024-03-14 20:18:00
137888092,2024-03-14,974,"Guilford Street , Bloomsbury",2024-03-14,964,"Bath Street, St. Luke's",54375,CLASSIC,8m 25s,505527,2024-03-14 20:03:00,2024-03-14 20:11:00
137888060,2024-03-14,985,"Hatton Garden, Holborn",2024-03-14,985,"Hatton Garden, Holborn",20732,CLASSIC,9s,9322,2024-03-14 20:02:00,2024-03-14 20:02:00
137888044,2024-03-14,985,"Hatton Garden, Holborn",2024-03-14,985,"Hatton Garden, Holborn",21480,CLASSIC,31s,31659,2024-03-14 20:01:00,2024-03-14 20:01:00
137888049,2024-03-14,992,"St. John Street, Finsbury",2024-03-14,964,"Bath Street, St. Luke's",59250,CLASSIC,5m 11s,311543,2024-03-14 20:01:00,2024-03-14 20:06:00
137887984,2024-03-14,991,"Crosswall, Tower",2024-03-14,991,"Crosswall, Tower",57360,CLASSIC,27m 29s,1649084,2024-03-14 19:58:00,2024-03-14 20:26:00
137887989,2024-03-14,964,"Bath Street, St. Luke's",2024-03-14,979,"Wenlock Road , Hoxton",57971,CLASSIC,2m 37s,157331,2024-03-14 19:58:00,2024-03-14 20:01:00
137887995,2024-03-14,1011,"Argyle Street, Kings Cross",2024-03-14,975,"Theobald's Road , Holborn",59123,CLASSIC,7m 45s,465876,2024-03-14 19:59:00,2024-03-14 20:06:00
