Number,Start date,Start station number,Start station,End date,End station number,End station,Bike number,Bike model,Total duration,Total duration (ms),Start datetime,End datetime
137887823,2024-03-14,986,"Finsbury Library , Finsbury",2024-03-14,999,"Queen Street 1, Bank",56638,CLASSIC,10m 38s,638190,2024-03-14 19:50:00,2024-03-14 20:01:00
137887739,2024-03-14,991,"Crosswall, Tower",2024-03-14,991,"Crosswall, Tower",58881,CLASSIC,2h 20m 58s,8458281,2024-03-14 19:47:00,2024-03-14 22:08:00
137887742,2024-03-14,991,"Crosswall, Tower",2024-03-14,991,"Crosswall, Tower",41194,CLASSIC,2h 20m 44s,8444730,2024-03-14 19:47:00,2024-03-14 22:08:00
137887697,2024-03-14,981,"British Museum, Bloomsbury",2024-03-14,1011,"Argyle Street, Kings Cross",20243,CLASSIC,5m 20s,320750,2024-03-14 19:45:00,2024-03-14 19:51:00
137887704,2024-03-14,967,"Golden Lane, Barbican",2024-03-14,989,"Murray Grove , Hoxton",54170,CLASSIC,6m 44s,404661,2024-03-14 19:46:00,2024-03-14 19:52:00
137887448,2024-03-14,975,"Theobald's Road , Holborn",2024-03-14,960,"Hop Exchange, The Borough",55605,CLASSIC,12m 22s,742797,2024-03-14 19:34:00,2024-03-14 19:47:00
137887191,2024-03-14,982,"Holborn Circus, Holborn",2024-03-14,1008,"Hatton Wall, Holborn",50586,CLASSIC,4m 4s,244592,2024-03-14 19:22:00,2024-03-14 19:26:00
137887068,2024-03-14,1007,"Drury Lane, Covent Garden",2024-03-14,1011,"Argyle Street, Kings Cross",12458,CLASSIC,10m 49s,649189,2024-03-14 19:17:00,2024-03-14 19:28:00
137886966,2024-03-14,985,"Hatton Garden, Holborn",2024-03-14,1005,"Eversholt Street , Camden Town",21483,CLASSIC,12m 5s,725318,2024-03-14 19:14:00,2024-03-14 19:26:00
137886932,2024-03-14,1009,"Taviton Street, Bloomsbury",2024-03-14,978,"Russell Square Station, Bloomsbury",41687,CLASSIC,3m 28s,208123,2024-03-14 19:12:00,2024-03-14 19:16:00
137886763,2024-03-14,970,"Scala Street, Fitzrovia",2024-03-14,992,"St. John Street, Finsbury",42151,CLASSIC,10m 28s,628837,2024-03-14 19:07:00,2024-03-14 19:17:00
137886677,2024-03-14,1010,"Cartwright Gardens , Bloomsbury",2024-03-14,1007,"Drury Lane, Covent Garden",12458,CLASSIC,10m 2s,602840,2024-03-14 19:03:00,2024-03-14 19:13:00
137886609,2024-03-14,972,"Hampstead Road, Euston",2024-03-14,978,"Russell Square Station, Bloomsbury",13085,CLASSIC,11m 0s,660310,2024-03-14 19:00:00,2024-03-14 19:11:00
137886466,2024-03-14,990,"Cotton Garden Estate, Kennington",2024-03-14,998,"Lollard Street, Vauxhall",57906,CLASSIC,4m 57s,297395,2024-03-14 18:55:00,2024-03-14 19:00:00
137886473,2024-03-14,982,"Holborn Circus, Holborn",2024-03-14,959,"Milroy Walk, South Bank",54209,CLASSIC,6m 55s,415389,2024-03-14 18:55:00,2024-03-14 19:02:00
137886337,2024-03-14,960,"Hop Exchange, The Borough",2024-03-14,999,"Queen Street 1, Bank",57133,CLASSIC,6m 35s,395834,2024-03-14 18:51:00,2024-03-14 18:58:00
137886309,2024-03-14,982,"Holborn Circus, Holborn",2024-03-14,1004,"Doric Way , Somers Town",52424,CLASSIC,21m 25s,1285945,2024-03-14 18:50:00,2024-03-14 19:12:00
137886264,2024-03-14,1009,"Taviton Street, Bloomsbury",2024-03-14,1010,"Cartwright Gardens , Bloomsbury",20793,CLASSIC,4m 9s,249766,2024-03-14 18:49:00,2024-03-14 18:53:00
137886124,2024-03-14,995,"Little Argyll Street, West End",2024-03-14,968,"Warwick Row, Westminster",22246,CLASSIC,12m 4s,724361,2024-03-14 18:45:00,2024-03-14 18:57:00
137886145,2024-03-14,988,"Great Russell Street, Bloomsbury",2024-03-14,983,"Euston Road, Euston",50786,CLASSIC,7m 21s,441779,2024-03-14 18:45:00,2024-03-14 18:53:00
137886022,2024-03-14,972,"Hampstead Road, Euston",2024-03-14,996,"Borough High Street, The Borough",52709,CLASSIC,22m 52s,1372011,2024-03-14 18:42:00,2024-03-14 19:05:00
137885872,2024-03-14,1009,"Taviton Street, Bloomsbury",2024-03-14,969,"Gower Place , Euston",59235,CLASSIC,1m 52s,112906,2024-03-14 18:38:00,2024-03-14 18:40:00
137885806,2024-03-14,1007,"Drury Lane, Covent Garden",2024-03-14,961,"Union Street, The Borough",58258,CLASSIC,11m 22s,682850,2024-03-14 18:36:00,2024-03-14 18:47:00
137885674,2024-03-14,984,"Finsbury Circus, Liverpool Street",2024-03-14,984,"Finsbury Circus, Liverpool Street",21583,CLASSIC,5m 18s,318685,2024-03-14 18:33:00,2024-03-14 18:38:00
137885701,2024-03-14,982,"Holborn Circus, Holborn",2024-03-14,960,"Hop Exchange, The Borough",40108,CLASSIC,8m 47s,527189,2024-03-14 18:34:00,2024-03-14 18:42:00
137885706,2024-03-14,967,"Golden Lane, Barbican",2024-03-14,989,"Murray Grove , Hoxton",50876,CLASSIC,12m 30s,750788,2024-03-14 18:34:00,2024-03-14 18:46:00
137885541,2024-03-14,982,"Holborn Circus, Holborn",2024-03-14,964,"Bath Street, St. Luke's",54141,CLASSIC,7m 40s,460350,2024-03-14 18:30:00,2024-03-14 18:37:00
137885474,2024-03-14,970,"Scala Street, Fitzrovia",2024-03-14,1011,"Argyle Street, Kings Cross",55778,CLASSIC,5m 56s,356320,2024-03-14 18:28:00,2024-03-14 18:34:00
137885420,2024-03-14,971,"Godliman Street, St. Paul's",2024-03-14,985,"Hatton Garden, Holborn",21483,CLASSIC,4m 23s,263727,2024-03-14 18:27:00,2024-03-14 18:31:00
137885233,2024-03-14,998,"Lollard Street, Vauxhall",2024-03-14,998,"Lollard Street, Vauxhall",17343,CLASSIC,8m 46s,526311,2024-03-14 18:22:00,2024-03-14 18:31:00
137885144,2024-03-14,1003,"Chapel Place, Marylebone",2024-03-14,1011,"Argyle Street, Kings Cross",54100,CLASSIC,13m 46s,826393,2024-03-14 18:20:00,2024-03-14 18:34:00
137885081,2024-03-14,964,"Bath Street, St. Luke's",2024-03-14,979,"Wenlock Road , Hoxton",41995,CLASSIC,3m 43s,223618,2024-03-14 18:19:00,2024-03-14 18:23:00
137885087,2024-03-14,964,"Bath Street, St. Luke's",2024-03-14,973,"Bethnal Green Road, Shoreditch",14372,CLASSIC,6m 6s,366102,2024-03-14 18:19:00,2024-03-14 18:25:00
137884890,2024-03-14,973,"Bethnal Green Road, Shoreditch",2024-03-14,973,"Bethnal Green Road, Shoreditch",53522,CLASSIC,10m 41s,641557,2024-03-14 18:15:00,2024-03-14 18:25:00
137884506,2024-03-14,980,"Malet Street, Bloomsbury",2024-03-14,1011,"Argyle Street, Kings Cross",16941,CLASSIC,5m 46s,346255,2024-03-14 18:06:00,2024-03-14 18:12:00
137884534,2024-03-14,982,"Holborn Circus, Holborn",2024-03-14,996,"Borough High Street, The Borough",54533,CLASSIC,31m 3s,1863140,2024-03-14 18:07:00,2024-03-14 18:38:00
137884409,2024-03-14,989,"Murray Grove , Hoxton",2024-03-14,964,"Bath Street, St. Luke's",59287,CLASSIC,10m 34s,634857,2024-03-14 18:04:00,2024-03-14 18:15:00
137884306,2024-03-14,971,"Godliman Street, St. Paul's",2024-03-14,1011,"Argyle Street, Kings Cross",40191,CLASSIC,13m 33s,813893,2024-03-14 18:02:00,2024-03-14 18:15:00
137884244,2024-03-14,995,"Little Argyll Street, West End",2024-03-14,963,"Bankside Mix, Bankside",11266,CLASSIC,21m 47s,1307362,2024-03-14 18:00:00,2024-03-14 18:22:00
137884036,2024-03-14,963,"Bankside Mix, Bankside",2024-03-14,960,"Hop Exchange, The Borough",51245,CLASSIC,2m 13s,133108,2024-03-14 17:56:00,2024-03-14 17:58:00
137883944,2024-03-14,999,"Queen Street 1, Bank",2024-03-14,959,"Milroy Walk, South Bank",51623,CLASSIC,7m 40s,460732,2024-03-14 17:54:00,2024-03-14 18:02:00
137883802,2024-03-14,1009,"Taviton Street, Bloomsbury",2024-03-14,1007,"Drury Lane, Covent Garden",58856,CLASSIC,7m 14s,434159,2024-03-14 17:51:00,2024-03-14 17:59:00
137883494,2024-03-14,964,"Bath Street, St. Luke's",2024-03-14,991,"Crosswall, Tower",41394,CLASSIC,14m 0s,840157,2024-03-14 17:45:00,2024-03-14 17:59:00
137883418,2024-03-14,995,"Little Argyll Street, West End",2024-03-14,995,"Little Argyll Street, West End",35787,CLASSIC,9s,9874,2024-03-14 17:44:00,2024-03-14 17:44:00
137883453,2024-03-14,1008,"Hatton Wall, Holborn",2024-03-14,988,"Great Russell Street, Bloomsbury",55151,CLASSIC,9m 12s,552695,2024-03-14 17:44:00,2024-03-14 17:53:00
137883362,2024-03-14,997,"Worship Street, Shoreditch",2024-03-14,966,"New Kent Road, The Borough",55258,CLASSIC,17m 19s,1039591,2024-03-14 17:43:00,2024-03-14 18:00:00
137883410,2024-03-14,1011,"Argyle Street, Kings Cross",2024-03-14,974,"Guilford Street , Bloomsbury",55361,CLASSIC,5m 44s,344736,2024-03-14 17:43:00,2024-03-14 17:49:00
137883353,2024-03-14,988,"Great Russell Street, Bloomsbury",2024-03-14,983,"Euston Road, Euston",54156,CLASSIC,6m 20s,380481,2024-03-14 17:43:00,2024-03-14 17:49:00
137883198,2024-03-14,985,"Hatton Garden, Holborn",2024-03-14,994,"Tanner Street, Bermondsey",58828,CLASSIC,15m 36s,936869,2024-03-14 17:39:00,2024-03-14 17:55:00
137883200,2024-03-14,960,"Hop Exchange, The Borough",2024-03-14,1011,"Argyle Street, Kings Cross",18202,CLASSIC,22m 35s,1355161,2024-03-14 17:39:00,2024-03-14 18:02:00
137883205,2024-03-14,1002,"Holy Trinity Brompton, Knightsbridge",2024-03-14,959,"Milroy Walk, South Bank",50448,CLASSIC,30m 17s,1817531,2024-03-14 17:39:00,2024-03-14 18:09:00
137883130,2024-03-14,995,"Little Argyll Street, West End",2024-03-14,974,"Guilford Street , Bloomsbury",53378,CLASSIC,10m 27s,627488,2024-03-14 17:38:00,2024-03-14 17:49:00
137883047,2024-03-14,998,"Lollard Street, Vauxhall",2024-03-14,990,"Cotton Garden Estate, Kennington",57906,CLASSIC,3m 28s,208435,2024-03-14 17:37:00,2024-03-14 17:40:00
137882991,2024-03-14,1003,"Chapel Place, Marylebone",2024-03-14,1004,"Doric Way , Somers Town",57534,CLASSIC,31m 16s,1876888,2024-03-14 17:35:00,2024-03-14 18:07:00
137882927,2024-03-14,1003,"Chapel Place, Marylebone",2024-03-14,1003,"Chapel Place, Marylebone",55899,CLASSIC,1m 20s,80323,2024-03-14 17:34:00,2024-03-14 17:35:00
137882907,2024-03-14,968,"Warwick Row, Westminster",2024-03-14,1000,"Vauxhall Cross, Vauxhall",55619,CLASSIC,7m 15s,435884,2024-03-14 17:33:00,2024-03-14 17:41:00
137882835,2024-03-14,960,"Hop Exchange, The Borough",2024-03-14,964,"Bath Street, St. Luke's",30449,CLASSIC,15m 42s,942423,2024-03-14 17:32:00,2024-03-14 17:48:00
137882805,2024-03-14,968,"Warwick Row, Westminster",2024-03-14,984,"Finsbury Circus, Liverpool Street",59583,CLASSIC,25m 48s,1548617,2024-03-14 17:31:00,2024-03-14 17:57:00
137882628,2024-03-14,967,"Golden Lane, Barbican",2024-03-14,975,"Theobald's Road , Holborn",52994,CLASSIC,7m 25s,445495,2024-03-14 17:27:00,2024-03-14 17:34:00
137882604,2024-03-14,959,"Milroy Walk, South Bank",2024-03-14,1000,"Vauxhall Cross, Vauxhall",57566,CLASSIC,16m 9s,969724,2024-03-14 17:26:00,2024-03-14 17:42:00
137882441,2024-03-14,995,"Little Argyll Street, West End",2024-03-14,1003,"Chapel Place, Marylebone",57534,CLASSIC,3m 16s,196229,2024-03-14 17:23:00,2024-03-14 17:26:00
137882443,2024-03-14,969,"Gower Place , Euston",2024-03-14,973,"Bethnal Green Road, Shoreditch",54679,CLASSIC,20m 15s,1215151,2024-03-14 17:23:00,2024-03-14 17:43:00
137882390,2024-03-14,1004,"Doric Way , Somers Town",2024-03-14,966,"New Kent Road, The Borough",58111,CLASSIC,21m 2s,1262396,2024-03-14 17:22:00,2024-03-14 17:43:00
137882003,2024-03-14,982,"Holborn Circus, Holborn",2024-03-14,995,"Little Argyll Street, West End",54292,CLASSIC,12m 44s,764487,2024-03-14 17:12:00,2024-03-14 17:25:00
137881936,2024-03-14,993,"Drummond Street , Euston",2024-03-14,995,"Little Argyll Street, West End",35787,CLASSIC,22m 42s,1362999,2024-03-14 17:10:00,2024-03-14 17:33:00
137881868,2024-03-14,967,"Golden Lane, Barbican",2024-03-14,979,"Wenlock Road , Hoxton",54080,CLASSIC,6m 43s,403752,2024-03-14 17:08:00,2024-03-14 17:15:00
137881812,2024-03-14,974,"Guilford Street , Bloomsbury",2024-03-14,976,"Longford Street, The Regent's Park",56962,CLASSIC,11m 37s,697313,2024-03-14 17:07:00,2024-03-14 17:19:00
137881678,2024-03-14,960,"Hop Exchange, The Borough",2024-03-14,1011,"Argyle Street, Kings Cross",54055,CLASSIC,17m 52s,1072284,2024-03-14 17:04:00,2024-03-14 17:22:00
137881628,2024-03-14,973,"Bethnal Green Road, Shoreditch",2024-03-14,973,"Bethnal Green Road, Shoreditch",53280,CLASSIC,11m 1s,661646,2024-03-14 17:03:00,2024-03-14 17:14:00
137881584,2024-03-14,969,"Gower Place , Euston",2024-03-14,1008,"Hatton Wall, Holborn",53745,CLASSIC,46m 24s,2784284,2024-03-14 17:01:00,2024-03-14 17:48:00
137881484,2024-03-14,1003,"Chapel Place, Marylebone",2024-03-14,1011,"Argyle Street, Kings Cross",41350,CLASSIC,15m 18s,918991,2024-03-14 16:58:00,2024-03-14 17:13:00
137881455,2024-03-14,991,"Crosswall, Tower",2024-03-14,998,"Lollard Street, Vauxhall",57906,CLASSIC,18m 51s,1131940,2024-03-14 16:57:00,2024-03-14 17:15:00
137881339,2024-03-14,970,"Scala Street, Fitzrovia",2024-03-14,1011,"Argyle Street, Kings Cross",20122,CLASSIC,6m 35s,395089,2024-03-14 16:53:00,2024-03-14 16:59:00
137881227,2024-03-14,1007,"Drury Lane, Covent Garden",2024-03-14,1007,"Drury Lane, Covent Garden",23157,CLASSIC,41s,41910,2024-03-14 16:49:00,2024-03-14 16:50:00
137881002,2024-03-14,1007,"Drury Lane, Covent Garden",2024-03-14,967,"Golden Lane, Barbican",52994,CLASSIC,13m 58s,838829,2024-03-14 16:39:00,2024-03-14 16:53:00
137880979,2024-03-14,980,"Malet Street, Bloomsbury",2024-03-14,991,"Crosswall, Tower",51261,CLASSIC,18m 22s,1102963,2024-03-14 16:38:00,2024-03-14 16:56:00
137880869,2024-03-14,981,"British Museum, Bloomsbury",2024-03-14,968,"Warwick Row, Westminster",55382,CLASSIC,12m 19s,739656,2024-03-14 16:33:00,2024-03-14 16:46:00
137880821,2024-03-14,995,"Little Argyll Street, West End",2024-03-14,1011,"Argyle Street, Kings Cross",40109,CLASSIC,9m 30s,570902,2024-03-14 16:31:00,2024-03-14 16:40:00
137880706,2024-03-14,981,"British Museum, Bloomsbury",2024-03-14,980,"Malet Street, Bloomsbury",51193,CLASSIC,3m 16s,196725,2024-03-14 16:26:00,2024-03-14 16:29:00
137880566,2024-03-14,964,"Bath Street, St. Luke's",2024-03-14,979,"Wenlock Road , Hoxton",53406,CLASSIC,2m 56s,176544,2024-03-14 16:20:00,2024-03-14 16:23:00
137880537,2024-03-14,994,"Tanner Street, Bermondsey",2024-03-14,961,"Union Street, The Borough",19773,CLASSIC,8m 49s,529229,2024-03-14 16:18:00,2024-03-14 16:27:00
137880364,2024-03-14,979,"Wenlock Road , Hoxton",2024-03-14,964,"Bath Street, St. Luke's",53406,CLASSIC,3m 17s,197141,2024-03-14 16:10:00,2024-03-14 16:13:00
137880292,2024-03-14,959,"Milroy Walk, South Bank",2024-03-14,991,"Crosswall, Tower",42208,CLASSIC,11m 41s,701554,2024-03-14 16:07:00,2024-03-14 16:19:00
137880154,2024-03-14,996,"Borough High Street, The Borough",2024-03-14,1008,"Hatton Wall, Holborn",56768,CLASSIC,16m 5s,965292,2024-03-14 16:01:00,2024-03-14 16:18:00
137880132,2024-03-14,959,"Milroy Walk, South Bank",2024-03-14,1007,"Drury Lane, Covent Garden",52994,CLASSIC,12m 7s,727442,2024-03-14 16:00:00,2024-03-14 16:12:00
137880133,2024-03-14,980,"Malet Street, Bloomsbury",2024-03-14,1010,"Cartwright Gardens , Bloomsbury",59412,CLASSIC,2m 46s,166566,2024-03-14 16:00:00,2024-03-14 16:03:00
137880051,2024-03-14,1010,"Cartwright Gardens , Bloomsbury",2024-03-14,1009,"Taviton Street, Bloomsbury",52159,CLASSIC,2m 33s,153524,2024-03-14 15:57:00,2024-03-14 15:59:00
137880027,2024-03-14,962,"Stamford Street, South Bank",2024-03-14,960,"Hop Exchange, The Borough",59313,CLASSIC,7m 33s,453769,2024-03-14 15:55:00,2024-03-14 16:03:00
137879996,2024-03-14,1009,"Taviton Street, Bloomsbury",2024-03-14,983,"Euston Road, Euston",59648,CLASSIC,2m 6s,126499,2024-03-14 15:53:00,2024-03-14 15:56:00
137879933,2024-03-14,1009,"Taviton Street, Bloomsbury",2024-03-14,981,"British Museum, Bloomsbury",51410,CLASSIC,3m 43s,223334,2024-03-14 15:51:00,2024-03-14 15:55:00
137879912,2024-03-14,961,"Union Street, The Borough",2024-03-14,994,"Tanner Street, Bermondsey",53779,CLASSIC,7m 58s,478336,2024-03-14 15:50:00,2024-03-14 15:58:00
137879864,2024-03-14,960,"Hop Exchange, The Borough",2024-03-14,963,"Bankside Mix, Bankside",54492,CLASSIC,3m 36s,216598,2024-03-14 15:47:00,2024-03-14 15:51:00
137879853,2024-03-14,982,"Holborn Circus, Holborn",2024-03-14,1007,"Drury Lane, Covent Garden",52776,CLASSIC,13m 38s,818414,2024-03-14 15:46:00,2024-03-14 16:00:00
137879743,2024-03-14,1010,"Cartwright Gardens , Bloomsbury",2024-03-14,1010,"Cartwright Gardens , Bloomsbury",55081,CLASSIC,5m 47s,347126,2024-03-14 15:42:00,2024-03-14 15:48:00
137879737,2024-03-14,1009,"Taviton Street, Bloomsbury",2024-03-14,981,"British Museum, Bloomsbury",58000,CLASSIC,3m 35s,215832,2024-03-14 15:41:00,2024-03-14 15:45:00
137879740,2024-03-14,1008,"Hatton Wall, Holborn",2024-03-14,972,"Hampstead Road, Euston",57358,CLASSIC,12m 59s,779617,2024-03-14 15:41:00,2024-03-14 15:54:00
137879566,2024-03-14,986,"Finsbury Library , Finsbury",2024-03-14,983,"Euston Road, Euston",52000,CLASSIC,13m 21s,801249,2024-03-14 15:34:00,2024-03-14 15:47:00
137879586,2024-03-14,982,"Holborn Circus, Holborn",2024-03-14,984,"Finsbury Circus, Liverpool Street",22343,CLASSIC,6m 56s,416926,2024-03-14 15:35:00,2024-03-14 15:41:00
137879507,2024-03-14,980,"Malet Street, Bloomsbury",2024-03-14,975,"Theobald's Road , Holborn",56578,CLASSIC,5m 33s,333178,2024-03-14 15:31:00,2024-03-14 15:37:00
137879449,2024-03-14,975,"Theobald's Road , Holborn",2024-03-14,1009,"Taviton Street, Bloomsbury",14294,CLASSIC,7m 46s,466655,2024-03-14 15:28:00,2024-03-14 15:36:00
137879323,2024-03-14,972,"Hampstead Road, Euston",2024-03-14,1005,"Eversholt Street , Camden Town",57078,CLASSIC,16m 41s,1001644,2024-03-14 15:21:00,2024-03-14 15:38:00
137879275,2024-03-14,986,"Finsbury Library , Finsbury",2024-03-14,1008,"Hatton Wall, Holborn",58320,CLASSIC,6m 19s,379358,2024-03-14 15:18:00,2024-03-14 15:24:00
137879110,2024-03-14,972,"Hampstead Road, Euston",2024-03-14,972,"Hampstead Road, Euston",56666,CLASSIC,11m 43s,703998,2024-03-14 15:09:00,2024-03-14 15:21:00
137879057,2024-03-14,985,"Hatton Garden, Holborn",2024-03-14,991,"Crosswall, Tower",57906,CLASSIC,9m 17s,557857,2024-03-14 15:07:00,2024-03-14 15:16:00
137878952,2024-03-14,995,"Little Argyll Street, West End",2024-03-14,1008,"Hatton Wall, Holborn",50210,CLASSIC,14m 51s,891533,2024-03-14 15:01:00,2024-03-14 15:16:00
137878853,2024-03-14,986,"Finsbury Library , Finsbury",2024-03-14,991,"Crosswall, Tower",59171,CLASSIC,18m 27s,1107922,2024-03-14 14:56:00,2024-03-14 15:14:00
