id,name,terminalName,lat,long,capacity,EndofDayBikes
864,"Abbey Orchard Street, Westminster",3429,51.4981256,-0.1321021999999914,73,44
394,"Aberdeen Place, St. John's Wood",2698,51.524826,-0.176268,46,28
554,"Aberfeldy Street, Poplar",200078,51.513548,-0.005659,41,25
38,"Abingdon Villas, Kensington",3442,51.4973875,-0.197245586,43,26
505,"Ackroyd Drive, Bow",200038,51.520398,-0.026768,73,44
616,"Aintree Street, Fulham",200098,51.48102131,-0.209973497,61,37
869,"Albert Embankment, Vauxhall",1059,51.4904357,-0.1228069000000005,61,37
483,"Albert Gardens, Stepney",22166,51.51328,-0.047784,84,51
303,"Albert Gate, Hyde Park",1132,51.50295379,-0.158456089,86,52
185,"Alderney Street, Pimlico",1174,51.48805753,-0.140741432,36,22
95,"Aldersgate Street, Barbican",1065,51.5208417,-0.097340162,38,23
26,"Ampton Street , Clerkenwell",1019,51.52728093,-0.11829517,53,32
518,"Antill Road, Mile End",200041,51.528224,-0.037471,76,46
14,"Argyle Street, Kings Cross",1011,51.529416,-0.12394439999999918,114,69
168,"Argyll Road, Kensington",3463,51.50040123,-0.195455928,48,29
545,"Arlington Road, Camden Town",200070,51.539957,-0.145246,61,37
79,"Arundel Street, Temple",3455,51.511726,-0.11385596,46,28
177,"Ashley Place, Victoria",1122,51.49616092,-0.140947636,63,38
461,"Aston Street, Stepney",200013,51.516,-0.038775,66,40
121,"Baker Street, Marylebone",1086,51.51891348,-0.156166631,56,34
319,"Baldwin Street, St. Luke's",3500,51.52702563,-0.088542771,53,32
193,"Bankside Mix, Bankside",963,51.50581776,-0.100186337,151,91
275,"Barbican Centre, Barbican",1191,51.52004497,-0.092176447,48,29
119,"Bath Street, St. Luke's",964,51.52589324,-0.090847761,46,28
272,"Baylis Road, Waterloo",1133,51.50144456,-0.110699309,56,34
153,"Bayswater Road, Hyde Park",1096,51.511933,-0.174411,68,41
242,"Beaumont Street, Marylebone",3482,51.52200801,-0.151359288,58,35
287,"Bedford Way, Bloomsbury",1156,51.52367314,-0.128377673,58,35
699,"Belford House, Haggerston",200057,51.5366541,-0.07023031,99,60
268,"Belgrave Road, Victoria",1087,51.49320445,-0.144132875,73,44
181,"Belgrave Square, Belgravia",3473,51.49941247,-0.152317537,53,32
506,"Bell Lane, Liverpool Street",200036,51.517475,-0.075855,58,35
182,"Bell Street , Marylebone",1166,51.52202903,-0.165842551,46,28
273,"Belvedere Road 1, South Bank",1186,51.50613324,-0.114686385,96,58
321,"Bermondsey Street, Bermondsey",2637,51.49785559,-0.081608045,61,37
246,"Berry Street, Clerkenwell",1159,51.52285301,-0.099994052,104,63
686,"Beryl Road, Hammersmith",200097,51.48814438,-0.222456468,66,40
444,"Bethnal Green Garden, Bethnal Green",200047,51.52568,-0.055312,61,37
132,"Bethnal Green Road, Shoreditch",973,51.52364804,-0.074754872,96,58
681,"Bishop's Avenue, Fulham",200043,51.47303687,-0.214749808,116,70
307,"Black Lion Gate, Kensington Gardens",1157,51.50990837,-0.187842717,61,37
310,"Black Prince Road, Vauxhall",1205,51.4908679,-0.116911864,48,29
28,"Bolsover Street, Fitzrovia",1025,51.52351808,-0.143613641,48,29
125,"Borough High Street, The Borough",996,51.50069491,-0.094524319,53,32
92,"Borough Road, Elephant & Castle",1082,51.49889832,-0.100440521,104,63
45,"Boston Place, Marylebone",1035,51.522511,-0.162298,66,40
259,"Bourne Street, Belgravia",1180,51.490959,-0.1532331,41,25
115,"Braham Street, Aldgate",1062,51.51423368,-0.073537654,86,52
219,"Bramham Gardens, Earl's Court",1183,51.49016361,-0.19039362,73,44
84,"Breams Buildings, Holborn",3449,51.51593725,-0.111778348,63,38
399,"Brick Lane Market, Shoreditch",2687,51.52261762,-0.071653961,61,37
94,"Bricklayers Arms, Borough",1070,51.49506109,-0.085814489,71,43
24,"British Museum, Bloomsbury",981,51.51908011,-0.124678402,89,54
6,"Broadcasting House, Marylebone",3424,51.51811784,-0.144228881,46,28
260,"Broadwick Street, Soho",3489,51.5136846,-0.135580879,46,28
484,"Bromley High Street, Bow",22172,51.528828,-0.013258,61,37
656,"Broomhouse Lane, Parsons Green",200040,51.46841875,-0.199135704,73,44
11,"Brunswick Square, Bloomsbury",1022,51.52395143,-0.122502346,61,37
251,"Brushfield Street, Liverpool Street",1161,51.518908,-0.079249,86,52
44,"Bruton Street, Mayfair",1034,51.51073687,-0.144165239,53,32
331,"Bunhill Row, Moorgate",1211,51.52085887,-0.089887855,76,46
562,"Bury Place, Holborn",200074,51.51742,-0.12318999999999392,53,32
359,"Butler Place, Westminster",2662,51.49782999,-0.135440826,46,28
390,"Buxton Street 1, Shoreditch",1223,51.521776,-0.068856,104,63
395,"Cadogan Gardens, Chelsea",2695,51.492462,-0.159919,38,23
211,"Cadogan Place, Knightsbridge",3469,51.49464523,-0.158105512,86,52
70,"Calshot Street , King's Cross",1066,51.53136059,-0.117069978,61,37
212,"Campden Hill Road, Notting Hill",3487,51.50658458,-0.199004026,43,26
487,"Canton Street, Poplar",22175,51.511811,-0.025626,58,35
232,"Carey Street, Holborn",1139,51.51501025,-0.112753217,41,25
16,"Cartwright Gardens , Bloomsbury",1010,51.52635795,-0.125979294,53,32
457,"Castlehaven Road, Camden Town",200016,51.542138,-0.145393,73,44
33,"Central House, Aldgate",3430,51.515231,-0.07015,46,28
501,"Cephas Street, Bethnal Green",200073,51.522561,-0.054883,61,37
254,"Chadwell Street, Angel",3471,51.53051587,-0.106408455,46,28
141,"Chapel Place, Marylebone",1003,51.51530805,-0.147203711,73,44
7,"Charlbert Street, St. John's Wood",3422,51.53430039,-0.1680743,41,25
226,"Charles II Street, West End",3488,51.50844614,-0.131961389,61,37
381,"Charlotte Street, Fitzrovia",2669,51.51953043,-0.13577731,36,22
427,"Cheapside, Bank",22180,51.51397065,-0.09294031,109,66
419,"Chelsea Bridge, Pimlico",22160,51.485821,-0.149004,38,23
220,"Chelsea Green, Chelsea",1179,51.49066456,-0.166485083,38,23
151,"Chepstow Villas, Notting Hill",1120,51.51213691,-0.201554966,66,40
445,"Cheshire Street, Bethnal Green",200003,51.52388,-0.065076,71,43
516,"Chrisp Street Market, Poplar",200089,51.5112,-0.014438,46,28
489,"Christian Street, Whitechapel",22177,51.513074,-0.064094,86,52
3,"Christopher Street, Liverpool Street",1012,51.52128377,-0.084605692,81,49
365,"City Road, Angel",2690,51.530344,-0.100168,119,72
355,"Clapham Common Station, Clapham Common",2694,51.461388,-0.13922146,53,32
189,"Claremont Square, Angel",1104,51.53166681,-0.109914711,46,28
528,"Clarges Street, Mayfair",200088,51.507326,-0.145827,41,25
291,"Claverton Street, Pimlico",1135,51.48483991,-0.138089062,81,49
412,"Cleaver Street, Kennington",10628,51.488105,-0.110121,43,26
135,"Clerkenwell Green, Clerkenwell",1053,51.52326004,-0.104708922,53,32
164,"Cleveland Gardens, Bayswater",1178,51.515607,-0.183118788,41,25
391,"Clifford Street, Mayfair",2688,51.51066202,-0.142345694,43,26
255,"Clifton Road, Maida Vale",1147,51.52557531,-0.179592915,56,34
323,"Clifton Street, Shoreditch",3501,51.523196,-0.083067,61,37
93,"Cloudesley Road, Angel",2586,51.53440868,-0.109025404,94,57
171,"Collingham Gardens, Earl's Court",3459,51.4916156,-0.186753859,36,22
240,"Colombo Street, Southwark",3472,51.50545935,-0.10569204,36,22
401,"Columbia Road, Shoreditch",2701,51.528187,-0.075375,61,37
40,"Commercial Street, Shoreditch",1083,51.52127071,-0.0755789,41,25
852,"Coomer Place, West Kensington",200081,51.4835707,-0.2020387000000028,68,41
62,"Cotton Garden Estate, Kennington",990,51.4907579,-0.106323685,61,37
341,"Craven Street, Strand",1160,51.50810309,-0.12602103,58,35
43,"Crawford Street, Marylebone",1036,51.52026,-0.157183945,46,28
431,"Crinan Street, King's Cross",22183,51.534474,-0.122203,51,31
682,"Crisp Road, Hammersmith",200059,51.48810829,-0.22660621,116,70
104,"Crosswall, Tower",991,51.51159481,-0.077121322,86,52
298,"Curlew Street, Shad Thames",1213,51.50227992,-0.074189225,53,32
49,"Curzon Street, Mayfair",3437,51.50706909,-0.145904427,41,25
36,"De Vere Gardens, Kensington",3446,51.50173726,-0.184980612,71,43
209,"Denyer Street, Knightsbridge",3454,51.49358391,-0.165101392,76,46
133,"Derry Street, Kensington",3436,51.50136494,-0.191462381,46,28
397,"Devonshire Terrace, Bayswater",1227,51.51348,-0.17977,41,25
317,"Dickens Square, Borough",1208,51.49679128,-0.093913472,81,49
237,"Dock Street, Wapping",3467,51.5097860151,-0.0681619805156,76,46
580,"Doddington Grove, Kennington",200084,51.48692917,-0.102996299,91,55
25,"Doric Way , Somers Town",1004,51.5288338,-0.132250369,126,76
201,"Dorset Square, Marylebone",1162,51.5225965,-0.161113413,41,25
589,"Drayton Gardens, West Chelsea",200060,51.487196,-0.179369,46,28
521,"Driffield Road, Old Ford",200030,51.534137,-0.037366,48,29
20,"Drummond Street , Euston",993,51.527326,-0.13605286,71,43
18,"Drury Lane, Covent Garden",1007,51.51477076,-0.12221963,68,41
244,"Earnshaw Street , Covent Garden",1145,51.51611887,-0.128585022,46,28
455,"East Ferry Road, Cubitt Town",200031,51.49447,-0.014409,43,26
50,"East Road, Hoxton",1054,51.52867339,-0.087459376,68,41
330,"Eastbourne Mews, Paddington",1203,51.51641749,-0.179135079,86,52
423,"Eaton Square (South), Belgravia",22164,51.49456127,-0.15393398,78,47
424,"Ebury Bridge, Pimlico",22159,51.490491,-0.149186,73,44
167,"Eccleston Place, Victoria",3465,51.49395092,-0.147624377,48,29
410,"Edgware Road Station, Marylebone",1058,51.519968,-0.169774,162,98
288,"Elizabeth Bridge, Victoria",1138,51.49236962,-0.147478734,86,52
617,"Elysium Place, Fulham",200028,51.47107905,-0.207842908,53,32
309,"Embankment (Savoy), Strand",1192,51.50963123,-0.119047563,104,63
128,"Emperor's Gate, South Kensington",1116,51.49536226,-0.185296516,56,34
269,"Empire Square, The Borough",1209,51.50082346,-0.089740764,116,70
214,"Endsleigh Gardens, Euston",1079,51.52683806,-0.130504336,81,49
69,"Euston Road, Euston",983,51.5262363,-0.134407652,61,37
131,"Eversholt Street , Camden Town",1005,51.53300545,-0.136792671,41,25
432,"Exhibition Road Museums 1, South Kensington",22158,51.496468,-0.17379696,33,20
482,"Exhibition Road Museums 2, South Kensington",200052,51.495947,-0.17368958,36,22
428,"Exhibition Road, Knightsbridge",22179,51.499917,-0.174554,51,31
96,"Falkirk Street, Hoxton",1047,51.53095071,-0.078505384,66,40
31,"Fanshaw Street, Hoxton",3427,51.52953709,-0.083353323,91,55
382,"Farm Street, Mayfair",2678,51.50935171,-0.14744969,38,23
72,"Farringdon Lane, Clerkenwell",3432,51.52352001,-0.108340165,41,25
236,"Fashion Street, Whitechapel",3483,51.51838043,-0.073438925,76,46
615,"Finlay Street, Fulham",200029,51.4768851,-0.215895601,61,37
55,"Finsbury Circus, Liverpool Street",984,51.51707521,-0.086685542,84,51
107,"Finsbury Leisure Centre, St. Luke's",1049,51.52600832,-0.096317627,51,31
51,"Finsbury Library , Finsbury",986,51.52671796,-0.104298194,73,44
140,"Finsbury Square , Moorgate",1056,51.52096262,-0.085634242,84,51
387,"Fire Brigade Pier, Vauxhall",2703,51.49369988,-0.121394101,76,46
