Origin,Destination,Distance_km
"Albert Embankment, Vauxhall","Albert Embankment, Vauxhall",0.0
"Albert Embankment, Vauxhall","Albert Gate, Hyde Park",2.8333
"Albert Embankment, Vauxhall","Alderney Street, Pimlico",1.2696
"Albert Embankment, Vauxhall","Aldersgate Street, Barbican",3.8129
"Albert Embankment, Vauxhall","Ampton Street , Clerkenwell",4.1089
"Albert Embankment, Vauxhall","Argyle Street, Kings Cross",4.3351
"Albert Embankment, Vauxhall","Ashley Place, Victoria",1.408
"Albert Embankment, Vauxhall","Baker Street, Marylebone",3.919
"Albert Embankment, Vauxhall","Bankside Mix, Bankside",2.3189
"Albert Embankment, Vauxhall","Barbican Centre, Barbican",3.9159
"Albert Embankment, Vauxhall","Bath Street, St. Luke's",4.5207
"Albert Embankment, Vauxhall","Baylis Road, Waterloo",1.4836
"Albert Embankment, Vauxhall","Bayswater Road, Hyde Park",4.298
"Albert Embankment, Vauxhall","Bedford Way, Bloomsbury",3.7159
"Albert Embankment, Vauxhall","Belgrave Road, Victoria",1.5082
"Albert Embankment, Vauxhall","Bell Street , Marylebone",4.6058
"Albert Embankment, Vauxhall","Belvedere Road 1, South Bank",1.8338
"Albert Embankment, Vauxhall","Berry Street, Clerkenwell",3.9353
"Albert Embankment, Vauxhall","Bethnal Green Road, Shoreditch",4.9698
"Albert Embankment, Vauxhall","Black Lion Gate, Kensington Gardens",4.9954
"Albert Embankment, Vauxhall","Black Prince Road, Vauxhall",0.411
"Albert Embankment, Vauxhall","Bolsover Street, Fitzrovia",3.9504
"Albert Embankment, Vauxhall","Borough High Street, The Borough",2.266
"Albert Embankment, Vauxhall","Borough Road, Elephant & Castle",1.8119
"Albert Embankment, Vauxhall","Boston Place, Marylebone",4.4935
"Albert Embankment, Vauxhall","Bourne Street, Belgravia",2.1073
"Albert Embankment, Vauxhall","Braham Street, Aldgate",4.3165
"Albert Embankment, Vauxhall","Bramham Gardens, Earl's Court",4.6795
"Albert Embankment, Vauxhall","Bricklayers Arms, Borough",2.6122
"Albert Embankment, Vauxhall","British Museum, Bloomsbury",3.1877
"Albert Embankment, Vauxhall","Brunswick Square, Bloomsbury",3.7268
"Albert Embankment, Vauxhall","Brushfield Street, Liverpool Street",4.3718
"Albert Embankment, Vauxhall","Bruton Street, Mayfair",2.6984
"Albert Embankment, Vauxhall","Bunhill Row, Moorgate",4.0786
"Albert Embankment, Vauxhall","Buxton Street 1, Shoreditch",5.1076
"Albert Embankment, Vauxhall","Calshot Street , King's Cross",4.5679
"Albert Embankment, Vauxhall","Carey Street, Holborn",2.8198
"Albert Embankment, Vauxhall","Cartwright Gardens , Bloomsbury",4.0004
"Albert Embankment, Vauxhall","Chapel Place, Marylebone",3.2405
