Number,Start date,Start station,End date,End station,Total duration,Total duration (ms),Start datetime,End datetime
137890723,2024-03-14,"Bethnal Green Road, Shoreditch",2024-03-14,"Bethnal Green Road, Shoreditch",1m 13s,73786,2024-03-14 23:17:00,2024-03-14 23:18:00
137890419,2024-03-14,"Hop Exchange, The Borough",2024-03-14,"Stamford Street, South Bank",6m 21s,381862,2024-03-14 22:46:00,2024-03-14 22:52:00
137890398,2024-03-14,"Hop Exchange, The Borough",2024-03-14,"Stamford Street, South Bank",8m 2s,482351,2024-03-14 22:44:00,2024-03-14 22:52:00
137889669,2024-03-14,"New Kent Road, The Borough",2024-03-14,"New Kent Road, The Borough",1m 14s,74649,2024-03-14 21:43:00,2024-03-14 21:44:00
137888983,2024-03-14,"Warwick Row, Westminster",2024-03-14,"Tachbrook Street, Victoria",4m 40s,280921,2024-03-14 20:50:00,2024-03-14 20:55:00
137885087,2024-03-14,"Bath Street, St. Luke's",2024-03-14,"Bethnal Green Road, Shoreditch",6m 6s,366102,2024-03-14 18:19:00,2024-03-14 18:25:00
137884890,2024-03-14,"Bethnal Green Road, Shoreditch",2024-03-14,"Bethnal Green Road, Shoreditch",10m 41s,641557,2024-03-14 18:15:00,2024-03-14 18:25:00
137884036,2024-03-14,"Bankside Mix, Bankside",2024-03-14,"Hop Exchange, The Borough",2m 13s,133108,2024-03-14 17:56:00,2024-03-14 17:58:00
137882835,2024-03-14,"Hop Exchange, The Borough",2024-03-14,"Bath Street, St. Luke's",15m 42s,942423,2024-03-14 17:32:00,2024-03-14 17:48:00
137882443,2024-03-14,"Gower Place , Euston",2024-03-14,"Bethnal Green Road, Shoreditch",20m 15s,1215151,2024-03-14 17:23:00,2024-03-14 17:43:00
137881628,2024-03-14,"Bethnal Green Road, Shoreditch",2024-03-14,"Bethnal Green Road, Shoreditch",11m 1s,661646,2024-03-14 17:03:00,2024-03-14 17:14:00
137880027,2024-03-14,"Stamford Street, South Bank",2024-03-14,"Hop Exchange, The Borough",7m 33s,453769,2024-03-14 15:55:00,2024-03-14 16:03:00
137879864,2024-03-14,"Hop Exchange, The Borough",2024-03-14,"Bankside Mix, Bankside",3m 36s,216598,2024-03-14 15:47:00,2024-03-14 15:51:00
137879110,2024-03-14,"Hampstead Road, Euston",2024-03-14,"Hampstead Road, Euston",11m 43s,703998,2024-03-14 15:09:00,2024-03-14 15:21:00
137878805,2024-03-14,"Stamford Street, South Bank",2024-03-14,"Hop Exchange, The Borough",6m 33s,393069,2024-03-14 14:53:00,2024-03-14 14:59:00
137877021,2024-03-14,"Bankside Mix, Bankside",2024-03-14,"Hop Exchange, The Borough",3m 2s,182012,2024-03-14 13:24:00,2024-03-14 13:27:00
137876500,2024-03-14,"Hop Exchange, The Borough",2024-03-14,"Stamford Street, South Bank",5m 11s,311233,2024-03-14 12:56:00,2024-03-14 13:01:00
137876255,2024-03-14,"Milroy Walk, South Bank",2024-03-14,"Hop Exchange, The Borough",4m 22s,262165,2024-03-14 12:44:00,2024-03-14 12:49:00
137875748,2024-03-14,"Warwick Row, Westminster",2024-03-14,"Tachbrook Street, Victoria",4m 4s,244414,2024-03-14 12:16:00,2024-03-14 12:20:00
137874981,2024-03-14,"Tachbrook Street, Victoria",2024-03-14,"Tachbrook Street, Victoria",5m 5s,305663,2024-03-14 11:35:00,2024-03-14 11:40:00
137874510,2024-03-14,"Gower Place , Euston",2024-03-14,"Union Street, The Borough",15m 15s,915195,2024-03-14 10:59:00,2024-03-14 11:15:00
137874390,2024-03-14,"Scala Street, Fitzrovia",2024-03-14,"Scala Street, Fitzrovia",22m 17s,1337029,2024-03-14 10:52:00,2024-03-14 11:14:00
137874341,2024-03-14,"Warwick Row, Westminster",2024-03-14,"Tachbrook Street, Victoria",4m 16s,256538,2024-03-14 10:49:00,2024-03-14 10:54:00
137874034,2024-03-14,"Bath Street, St. Luke's",2024-03-14,"Golden Lane, Barbican",3m 47s,227169,2024-03-14 10:33:00,2024-03-14 10:37:00
137873384,2024-03-14,"Bath Street, St. Luke's",2024-03-14,"Bath Street, St. Luke's",54s,54421,2024-03-14 09:58:00,2024-03-14 09:59:00
137872372,2024-03-14,"Stamford Street, South Bank",2024-03-14,"Bankside Mix, Bankside",4m 25s,265323,2024-03-14 09:22:00,2024-03-14 09:26:00
137871797,2024-03-14,"Bethnal Green Road, Shoreditch",2024-03-14,"Golden Lane, Barbican",18m 8s,1088719,2024-03-14 09:06:00,2024-03-14 09:24:00
137870958,2024-03-14,"Hop Exchange, The Borough",2024-03-14,"Bankside Mix, Bankside",1m 53s,113604,2024-03-14 08:50:00,2024-03-14 08:52:00
137870466,2024-03-14,"Stamford Street, South Bank",2024-03-14,"Hop Exchange, The Borough",11m 51s,711066,2024-03-14 08:42:00,2024-03-14 08:54:00
137870285,2024-03-14,"Golden Lane, Barbican",2024-03-14,"Bath Street, St. Luke's",3m 46s,226252,2024-03-14 08:39:00,2024-03-14 08:43:00
137870063,2024-03-14,"Bankside Mix, Bankside",2024-03-14,"Bankside Mix, Bankside",34m 43s,2083380,2024-03-14 08:36:00,2024-03-14 09:11:00
137869221,2024-03-14,"Golden Lane, Barbican",2024-03-14,"Golden Lane, Barbican",32s,32233,2024-03-14 08:23:00,2024-03-14 08:24:00
137868737,2024-03-14,"Warwick Row, Westminster",2024-03-14,"Warwick Row, Westminster",45s,45525,2024-03-14 08:15:00,2024-03-14 08:16:00
137866890,2024-03-14,"Bethnal Green Road, Shoreditch",2024-03-14,"Hop Exchange, The Borough",10m 58s,658998,2024-03-14 07:32:00,2024-03-14 07:43:00
137865944,2024-03-14,"Warwick Row, Westminster",2024-03-14,"Warwick Row, Westminster",29s,29173,2024-03-14 06:54:00,2024-03-14 06:55:00
137865518,2024-03-14,"New Kent Road, The Borough",2024-03-14,"Hop Exchange, The Borough",4m 13s,253940,2024-03-14 06:21:00,2024-03-14 06:25:00
137861775,2024-03-13,"Bankside Mix, Bankside",2024-03-13,"Bankside Mix, Bankside",12s,12603,2024-03-13 19:51:00,2024-03-13 19:51:00
137861544,2024-03-13,"Milroy Walk, South Bank",2024-03-13,"Bankside Mix, Bankside",3m 23s,203129,2024-03-13 19:41:00,2024-03-13 19:45:00
137861366,2024-03-13,"Gower Place , Euston",2024-03-13,"Gower Place , Euston",18m 52s,1132790,2024-03-13 19:35:00,2024-03-13 19:54:00
137861142,2024-03-13,"Golden Lane, Barbican",2024-03-13,"Bath Street, St. Luke's",5m 59s,359460,2024-03-13 19:27:00,2024-03-13 19:33:00
137860325,2024-03-13,"Golden Lane, Barbican",2024-03-13,"Bankside Mix, Bankside",11m 11s,671191,2024-03-13 19:01:00,2024-03-13 19:12:00
137858976,2024-03-13,"Bankside Mix, Bankside",2024-03-13,"Union Street, The Borough",3m 37s,217106,2024-03-13 18:28:00,2024-03-13 18:32:00
137858944,2024-03-13,"Hop Exchange, The Borough",2024-03-13,"Hop Exchange, The Borough",2h 6m 28s,7588218,2024-03-13 18:27:00,2024-03-13 20:34:00
137856890,2024-03-13,"Union Street, The Borough",2024-03-13,"Hop Exchange, The Borough",2m 3s,123270,2024-03-13 17:46:00,2024-03-13 17:48:00
137854550,2024-03-13,"Union Street, The Borough",2024-03-13,"Hop Exchange, The Borough",2m 29s,149217,2024-03-13 16:55:00,2024-03-13 16:58:00
137854037,2024-03-13,"Hop Exchange, The Borough",2024-03-13,"Stamford Street, South Bank",6m 1s,361537,2024-03-13 16:39:00,2024-03-13 16:45:00
137853982,2024-03-13,"Bethnal Green Road, Shoreditch",2024-03-13,"Bankside Mix, Bankside",12m 50s,770888,2024-03-13 16:37:00,2024-03-13 16:50:00
137853587,2024-03-13,"Hop Exchange, The Borough",2024-03-13,"Stamford Street, South Bank",9m 25s,565765,2024-03-13 16:22:00,2024-03-13 16:32:00
137853289,2024-03-13,"Milroy Walk, South Bank",2024-03-13,"Hop Exchange, The Borough",5m 17s,317916,2024-03-13 16:11:00,2024-03-13 16:16:00
137851428,2024-03-13,"Hop Exchange, The Borough",2024-03-13,"Hampstead Road, Euston",31m 42s,1902069,2024-03-13 14:32:00,2024-03-13 15:04:00
137851175,2024-03-13,"Hop Exchange, The Borough",2024-03-13,"Godliman Street, St. Paul's",14m 30s,870275,2024-03-13 14:18:00,2024-03-13 14:33:00
137851114,2024-03-13,"Union Street, The Borough",2024-03-13,"Union Street, The Borough",12m 32s,752599,2024-03-13 14:15:00,2024-03-13 14:28:00
137850949,2024-03-13,"Godliman Street, St. Paul's",2024-03-13,"Hop Exchange, The Borough",7m 32s,452229,2024-03-13 14:05:00,2024-03-13 14:13:00
137849392,2024-03-13,"Hop Exchange, The Borough",2024-03-13,"Godliman Street, St. Paul's",7m 34s,454139,2024-03-13 12:41:00,2024-03-13 12:48:00
137848821,2024-03-13,"Warwick Row, Westminster",2024-03-13,"Tachbrook Street, Victoria",4m 1s,241612,2024-03-13 12:08:00,2024-03-13 12:12:00
137848532,2024-03-13,"Bath Street, St. Luke's",2024-03-13,"Hop Exchange, The Borough",17m 41s,1061515,2024-03-13 11:51:00,2024-03-13 12:09:00
137848507,2024-03-13,"Hop Exchange, The Borough",2024-03-13,"Stamford Street, South Bank",4m 47s,287776,2024-03-13 11:50:00,2024-03-13 11:55:00
137848525,2024-03-13,"Bath Street, St. Luke's",2024-03-13,"Hop Exchange, The Borough",18m 2s,1082783,2024-03-13 11:50:00,2024-03-13 12:09:00
137848499,2024-03-13,"Scala Street, Fitzrovia",2024-03-13,"Scala Street, Fitzrovia",37m 59s,2279468,2024-03-13 11:49:00,2024-03-13 12:27:00
137848251,2024-03-13,"Godliman Street, St. Paul's",2024-03-13,"Hop Exchange, The Borough",11m 29s,689819,2024-03-13 11:34:00,2024-03-13 11:46:00
137847705,2024-03-13,"Gower Place , Euston",2024-03-13,"Scala Street, Fitzrovia",4m 15s,255196,2024-03-13 10:58:00,2024-03-13 11:02:00
137847529,2024-03-13,"Stamford Street, South Bank",2024-03-13,"Hop Exchange, The Borough",6m 35s,395604,2024-03-13 10:48:00,2024-03-13 10:54:00
137847286,2024-03-13,"Hop Exchange, The Borough",2024-03-13,"Stamford Street, South Bank",5m 41s,341953,2024-03-13 10:33:00,2024-03-13 10:39:00
137845625,2024-03-13,"Stamford Street, South Bank",2024-03-13,"Milroy Walk, South Bank",2m 0s,120098,2024-03-13 09:17:00,2024-03-13 09:19:00
137845527,2024-03-13,"Stamford Street, South Bank",2024-03-13,"Bankside Mix, Bankside",4m 30s,270652,2024-03-13 09:14:00,2024-03-13 09:18:00
137845432,2024-03-13,"Bankside Mix, Bankside",2024-03-13,"Bethnal Green Road, Shoreditch",13m 54s,834555,2024-03-13 09:11:00,2024-03-13 09:25:00
137844597,2024-03-13,"Stamford Street, South Bank",2024-03-13,"Hop Exchange, The Borough",6m 42s,402125,2024-03-13 08:53:00,2024-03-13 09:00:00
137843284,2024-03-13,"Bethnal Green Road, Shoreditch",2024-03-13,"Stamford Street, South Bank",17m 18s,1038597,2024-03-13 08:33:00,2024-03-13 08:50:00
137842373,2024-03-13,"Milroy Walk, South Bank",2024-03-13,"Hop Exchange, The Borough",5m 59s,359590,2024-03-13 08:17:00,2024-03-13 08:23:00
137842391,2024-03-13,"Warwick Row, Westminster",2024-03-13,"Warwick Row, Westminster",46m 43s,2803115,2024-03-13 08:17:00,2024-03-13 09:04:00
137841044,2024-03-13,"Hop Exchange, The Borough",2024-03-13,"Bankside Mix, Bankside",2m 56s,176920,2024-03-13 07:50:00,2024-03-13 07:53:00
137838977,2024-03-13,"New Kent Road, The Borough",2024-03-13,"Hop Exchange, The Borough",4m 25s,265697,2024-03-13 06:13:00,2024-03-13 06:18:00
137838684,2024-03-13,"Hop Exchange, The Borough",2024-03-13,"New Kent Road, The Borough",6m 15s,375178,2024-03-13 03:40:00,2024-03-13 03:46:00
137838611,2024-03-13,"Bankside Mix, Bankside",2024-03-13,"Stamford Street, South Bank",7m 37s,457829,2024-03-13 01:30:00,2024-03-13 01:38:00
137838610,2024-03-13,"Bankside Mix, Bankside",2024-03-13,"Stamford Street, South Bank",8m 24s,504255,2024-03-13 01:30:00,2024-03-13 01:38:00
137837865,2024-03-12,"Golden Lane, Barbican",2024-03-12,"Bankside Mix, Bankside",10m 19s,619697,2024-03-12 22:17:00,2024-03-12 22:27:00
137836500,2024-03-12,"Hop Exchange, The Borough",2024-03-12,"Stamford Street, South Bank",8m 16s,496364,2024-03-12 20:15:00,2024-03-12 20:23:00
137835601,2024-03-12,"Bethnal Green Road, Shoreditch",2024-03-12,"Hop Exchange, The Borough",10m 59s,659761,2024-03-12 19:31:00,2024-03-12 19:42:00
137834969,2024-03-12,"Tachbrook Street, Victoria",2024-03-12,"Tachbrook Street, Victoria",10s,10032,2024-03-12 19:07:00,2024-03-12 19:07:00
137832281,2024-03-12,"New Kent Road, The Borough",2024-03-12,"Hop Exchange, The Borough",7m 2s,422498,2024-03-12 17:55:00,2024-03-12 18:02:00
137831609,2024-03-12,"Hop Exchange, The Borough",2024-03-12,"Stamford Street, South Bank",7m 39s,459185,2024-03-12 17:40:00,2024-03-12 17:48:00
137831536,2024-03-12,"Bath Street, St. Luke's",2024-03-12,"Bethnal Green Road, Shoreditch",9m 47s,587474,2024-03-12 17:39:00,2024-03-12 17:48:00
137830270,2024-03-12,"Bankside Mix, Bankside",2024-03-12,"Hop Exchange, The Borough",2m 47s,167819,2024-03-12 17:07:00,2024-03-12 17:10:00
137830249,2024-03-12,"Gower Place , Euston",2024-03-12,"Gower Place , Euston",35s,35862,2024-03-12 17:06:00,2024-03-12 17:07:00
137830082,2024-03-12,"Tachbrook Street, Victoria",2024-03-12,"Tachbrook Street, Victoria",8m 23s,503484,2024-03-12 17:02:00,2024-03-12 17:10:00
137830042,2024-03-12,"Gower Place , Euston",2024-03-12,"Bath Street, St. Luke's",20m 35s,1235144,2024-03-12 17:01:00,2024-03-12 17:21:00
137829906,2024-03-12,"Hop Exchange, The Borough",2024-03-12,"Stamford Street, South Bank",5m 18s,318214,2024-03-12 16:56:00,2024-03-12 17:02:00
137829774,2024-03-12,"Gower Place , Euston",2024-03-12,"Bethnal Green Road, Shoreditch",19m 6s,1146396,2024-03-12 16:51:00,2024-03-12 17:10:00
137829265,2024-03-12,"Union Street, The Borough",2024-03-12,"Stamford Street, South Bank",9m 3s,543224,2024-03-12 16:30:00,2024-03-12 16:39:00
137828970,2024-03-12,"Hop Exchange, The Borough",2024-03-12,"Hop Exchange, The Borough",42m 15s,2535850,2024-03-12 16:13:00,2024-03-12 16:55:00
137828979,2024-03-12,"Hop Exchange, The Borough",2024-03-12,"Hop Exchange, The Borough",41m 53s,2513349,2024-03-12 16:13:00,2024-03-12 16:55:00
137827861,2024-03-12,"Hampstead Road, Euston",2024-03-12,"Hampstead Road, Euston",22s,22922,2024-03-12 14:43:00,2024-03-12 14:43:00
137827186,2024-03-12,"Hop Exchange, The Borough",2024-03-12,"Bankside Mix, Bankside",2m 47s,167852,2024-03-12 13:09:00,2024-03-12 13:12:00
137827089,2024-03-12,"Bankside Mix, Bankside",2024-03-12,"Hop Exchange, The Borough",3m 50s,230037,2024-03-12 12:53:00,2024-03-12 12:57:00
137826379,2024-03-12,"Bethnal Green Road, Shoreditch",2024-03-12,"Bethnal Green Road, Shoreditch",6s,6206,2024-03-12 10:42:00,2024-03-12 10:42:00
137826350,2024-03-12,"Hop Exchange, The Borough",2024-03-12,"Bankside Mix, Bankside",3m 6s,186828,2024-03-12 10:37:00,2024-03-12 10:40:00
137825440,2024-03-12,"Bethnal Green Road, Shoreditch",2024-03-12,"Bethnal Green Road, Shoreditch",35s,35943,2024-03-12 09:03:00,2024-03-12 09:03:00
137825361,2024-03-12,"Stamford Street, South Bank",2024-03-12,"Hop Exchange, The Borough",5m 14s,314853,2024-03-12 08:59:00,2024-03-12 09:04:00
137823930,2024-03-12,"Bethnal Green Road, Shoreditch",2024-03-12,"Bethnal Green Road, Shoreditch",36s,36269,2024-03-12 08:04:00,2024-03-12 08:04:00
137822639,2024-03-12,"New Kent Road, The Borough",2024-03-12,"Hop Exchange, The Borough",4m 38s,278045,2024-03-12 06:23:00,2024-03-12 06:28:00
137817841,2024-03-11,"Bethnal Green Road, Shoreditch",2024-03-11,"Stamford Street, South Bank",14m 44s,884979,2024-03-11 18:52:00,2024-03-11 19:07:00
137817728,2024-03-11,"Hop Exchange, The Borough",2024-03-11,"Hop Exchange, The Borough",5s,5695,2024-03-11 18:49:00,2024-03-11 18:49:00
137817025,2024-03-11,"Stamford Street, South Bank",2024-03-11,"Golden Lane, Barbican",12m 50s,770777,2024-03-11 18:31:00,2024-03-11 18:44:00
137816750,2024-03-11,"Bethnal Green Road, Shoreditch",2024-03-11,"Bethnal Green Road, Shoreditch",33s,33869,2024-03-11 18:24:00,2024-03-11 18:25:00
137814996,2024-03-11,"Gower Place , Euston",2024-03-11,"Gower Place , Euston",13s,13738,2024-03-11 17:45:00,2024-03-11 17:45:00
137814855,2024-03-11,"Hop Exchange, The Borough",2024-03-11,"Stamford Street, South Bank",7m 6s,426352,2024-03-11 17:43:00,2024-03-11 17:50:00
137814798,2024-03-11,"Hop Exchange, The Borough",2024-03-11,"New Kent Road, The Borough",6m 16s,376719,2024-03-11 17:42:00,2024-03-11 17:48:00
137814605,2024-03-11,"Gower Place , Euston",2024-03-11,"Gower Place , Euston",58s,58332,2024-03-11 17:38:00,2024-03-11 17:39:00
137813625,2024-03-11,"Gower Place , Euston",2024-03-11,"Gower Place , Euston",30s,30381,2024-03-11 17:15:00,2024-03-11 17:15:00
137813291,2024-03-11,"Bankside Mix, Bankside",2024-03-11,"Hop Exchange, The Borough",3m 27s,207964,2024-03-11 17:07:00,2024-03-11 17:10:00
137812817,2024-03-11,"Hop Exchange, The Borough",2024-03-11,"Milroy Walk, South Bank",3m 47s,227948,2024-03-11 16:52:00,2024-03-11 16:56:00
137811890,2024-03-11,"Hop Exchange, The Borough",2024-03-11,"Hop Exchange, The Borough",32m 25s,1945257,2024-03-11 16:14:00,2024-03-11 16:47:00
137810757,2024-03-11,"Tachbrook Street, Victoria",2024-03-11,"Tachbrook Street, Victoria",20m 2s,1202410,2024-03-11 15:08:00,2024-03-11 15:28:00
137810404,2024-03-11,"Milroy Walk, South Bank",2024-03-11,"Milroy Walk, South Bank",14m 41s,881370,2024-03-11 14:44:00,2024-03-11 14:59:00
137809052,2024-03-11,"Golden Lane, Barbican",2024-03-11,"Bethnal Green Road, Shoreditch",10m 8s,608604,2024-03-11 13:14:00,2024-03-11 13:25:00
137808766,2024-03-11,"Godliman Street, St. Paul's",2024-03-11,"Hop Exchange, The Borough",10m 10s,610392,2024-03-11 12:57:00,2024-03-11 13:07:00
137808050,2024-03-11,"Bethnal Green Road, Shoreditch",2024-03-11,"Bethnal Green Road, Shoreditch",6m 57s,417440,2024-03-11 12:06:00,2024-03-11 12:13:00
137806664,2024-03-11,"Hop Exchange, The Borough",2024-03-11,"Bankside Mix, Bankside",3m 28s,208660,2024-03-11 10:20:00,2024-03-11 10:23:00
137805639,2024-03-11,"Union Street, The Borough",2024-03-11,"Warwick Row, Westminster",15m 6s,906829,2024-03-11 09:22:00,2024-03-11 09:37:00
137804790,2024-03-11,"Stamford Street, South Bank",2024-03-11,"Hop Exchange, The Borough",6m 51s,411762,2024-03-11 08:54:00,2024-03-11 09:01:00
137802786,2024-03-11,"Stamford Street, South Bank",2024-03-11,"Hop Exchange, The Borough",6m 18s,378977,2024-03-11 08:11:00,2024-03-11 08:17:00
137800283,2024-03-11,"New Kent Road, The Borough",2024-03-11,"Hop Exchange, The Borough",4m 10s,250298,2024-03-11 06:22:00,2024-03-11 06:26:00
137800078,2024-03-11,"Milroy Walk, South Bank",2024-03-11,"Hop Exchange, The Borough",3m 15s,195113,2024-03-11 05:32:00,2024-03-11 05:35:00
137797774,2024-03-10,"Bethnal Green Road, Shoreditch",2024-03-10,"Bethnal Green Road, Shoreditch",38s,38880,2024-03-10 17:50:00,2024-03-10 17:50:00
137797233,2024-03-10,"Tachbrook Street, Victoria",2024-03-10,"Tachbrook Street, Victoria",9s,9284,2024-03-10 16:40:00,2024-03-10 16:40:00
137794869,2024-03-10,"Golden Lane, Barbican",2024-03-10,"Bethnal Green Road, Shoreditch",9m 54s,594293,2024-03-10 11:09:00,2024-03-10 11:19:00
137794584,2024-03-10,"Bethnal Green Road, Shoreditch",2024-03-10,"Golden Lane, Barbican",6m 38s,398128,2024-03-10 10:42:00,2024-03-10 10:48:00
137793319,2024-03-10,"Golden Lane, Barbican",2024-03-10,"Golden Lane, Barbican",11m 8s,668280,2024-03-10 08:47:00,2024-03-10 08:58:00
137792732,2024-03-10,"Hop Exchange, The Borough",2024-03-10,"Bankside Mix, Bankside",2m 41s,161002,2024-03-10 03:55:00,2024-03-10 03:58:00
137789282,2024-03-09,"Hampstead Road, Euston",2024-03-09,"Godliman Street, St. Paul's",16m 27s,987889,2024-03-09 19:00:00,2024-03-09 19:16:00
137788997,2024-03-09,"Union Street, The Borough",2024-03-09,"Union Street, The Borough",2m 38s,158259,2024-03-09 18:45:00,2024-03-09 18:48:00
137788350,2024-03-09,"Bankside Mix, Bankside",2024-03-09,"Milroy Walk, South Bank",3m 18s,198393,2024-03-09 18:11:00,2024-03-09 18:14:00
137788045,2024-03-09,"Hop Exchange, The Borough",2024-03-09,"New Kent Road, The Borough",5m 26s,326503,2024-03-09 17:57:00,2024-03-09 18:02:00
137788055,2024-03-09,"Milroy Walk, South Bank",2024-03-09,"Golden Lane, Barbican",11m 2s,662133,2024-03-09 17:57:00,2024-03-09 18:08:00
137786383,2024-03-09,"Bethnal Green Road, Shoreditch",2024-03-09,"Bethnal Green Road, Shoreditch",25m 55s,1555515,2024-03-09 16:51:00,2024-03-09 17:17:00
137786379,2024-03-09,"Bethnal Green Road, Shoreditch",2024-03-09,"Bethnal Green Road, Shoreditch",26m 26s,1586246,2024-03-09 16:50:00,2024-03-09 17:17:00
137786380,2024-03-09,"Bethnal Green Road, Shoreditch",2024-03-09,"Bethnal Green Road, Shoreditch",26m 26s,1586179,2024-03-09 16:50:00,2024-03-09 17:17:00
137786205,2024-03-09,"Golden Lane, Barbican",2024-03-09,"Bethnal Green Road, Shoreditch",7m 42s,462257,2024-03-09 16:45:00,2024-03-09 16:53:00
137785214,2024-03-09,"Union Street, The Borough",2024-03-09,"Union Street, The Borough",56s,56768,2024-03-09 16:10:00,2024-03-09 16:11:00
137784074,2024-03-09,"Bankside Mix, Bankside",2024-03-09,"Union Street, The Borough",3m 11s,191621,2024-03-09 15:32:00,2024-03-09 15:35:00
137783564,2024-03-09,"Bethnal Green Road, Shoreditch",2024-03-09,"Bethnal Green Road, Shoreditch",5m 4s,304718,2024-03-09 15:15:00,2024-03-09 15:20:00
137783484,2024-03-09,"Warwick Row, Westminster",2024-03-09,"Warwick Row, Westminster",1h 19m 44s,4784062,2024-03-09 15:13:00,2024-03-09 16:33:00
137783499,2024-03-09,"Hop Exchange, The Borough",2024-03-09,"Milroy Walk, South Bank",4m 51s,291463,2024-03-09 15:13:00,2024-03-09 15:18:00
137781924,2024-03-09,"Warwick Row, Westminster",2024-03-09,"Warwick Row, Westminster",12m 8s,728528,2024-03-09 14:24:00,2024-03-09 14:36:00
137781945,2024-03-09,"Warwick Row, Westminster",2024-03-09,"Warwick Row, Westminster",11m 45s,705415,2024-03-09 14:24:00,2024-03-09 14:36:00
137780172,2024-03-09,"Warwick Row, Westminster",2024-03-09,"Warwick Row, Westminster",1m 42s,102812,2024-03-09 13:32:00,2024-03-09 13:34:00
137779500,2024-03-09,"Bath Street, St. Luke's",2024-03-09,"Bath Street, St. Luke's",16s,16287,2024-03-09 13:13:00,2024-03-09 13:13:00
137778320,2024-03-09,"Bankside Mix, Bankside",2024-03-09,"Hop Exchange, The Borough",2m 56s,176821,2024-03-09 12:38:00,2024-03-09 12:41:00
137778124,2024-03-09,"Bethnal Green Road, Shoreditch",2024-03-09,"Golden Lane, Barbican",7m 39s,459939,2024-03-09 12:32:00,2024-03-09 12:40:00
137777766,2024-03-09,"Hop Exchange, The Borough",2024-03-09,"Hop Exchange, The Borough",6m 34s,394793,2024-03-09 12:22:00,2024-03-09 12:29:00
137777736,2024-03-09,"Hop Exchange, The Borough",2024-03-09,"Hop Exchange, The Borough",7m 43s,463735,2024-03-09 12:21:00,2024-03-09 12:29:00
137777746,2024-03-09,"Hop Exchange, The Borough",2024-03-09,"Hop Exchange, The Borough",7m 25s,445592,2024-03-09 12:21:00,2024-03-09 12:29:00
137776393,2024-03-09,"Stamford Street, South Bank",2024-03-09,"Hop Exchange, The Borough",6m 46s,406476,2024-03-09 11:38:00,2024-03-09 11:45:00
137776287,2024-03-09,"Bath Street, St. Luke's",2024-03-09,"Bath Street, St. Luke's",2s,2963,2024-03-09 11:34:00,2024-03-09 11:34:00
137775565,2024-03-09,"Bethnal Green Road, Shoreditch",2024-03-09,"Bethnal Green Road, Shoreditch",13m 41s,821527,2024-03-09 11:09:00,2024-03-09 11:23:00
137775149,2024-03-09,"Hop Exchange, The Borough",2024-03-09,"Stamford Street, South Bank",5m 18s,318666,2024-03-09 10:52:00,2024-03-09 10:58:00
137774729,2024-03-09,"Hop Exchange, The Borough",2024-03-09,"Bankside Mix, Bankside",15m 25s,925482,2024-03-09 10:35:00,2024-03-09 10:50:00
137774724,2024-03-09,"Hop Exchange, The Borough",2024-03-09,"Bankside Mix, Bankside",15m 39s,939827,2024-03-09 10:35:00,2024-03-09 10:50:00
137772322,2024-03-09,"Hop Exchange, The Borough",2024-03-09,"Hop Exchange, The Borough",1m 35s,95464,2024-03-09 08:08:00,2024-03-09 08:10:00
137770306,2024-03-08,"Bankside Mix, Bankside",2024-03-08,"Bankside Mix, Bankside",16m 30s,990080,2024-03-08 22:39:00,2024-03-08 22:55:00
137769588,2024-03-08,"Golden Lane, Barbican",2024-03-08,"Bankside Mix, Bankside",10m 26s,626103,2024-03-08 21:23:00,2024-03-08 21:34:00
137768914,2024-03-08,"Bankside Mix, Bankside",2024-03-08,"Hop Exchange, The Borough",2m 37s,157804,2024-03-08 20:26:00,2024-03-08 20:29:00
137768411,2024-03-08,"Tachbrook Street, Victoria",2024-03-08,"Tachbrook Street, Victoria",6m 53s,413500,2024-03-08 19:54:00,2024-03-08 20:01:00
137768283,2024-03-08,"Warwick Row, Westminster",2024-03-08,"Warwick Row, Westminster",44s,44285,2024-03-08 19:46:00,2024-03-08 19:46:00
137767808,2024-03-08,"Milroy Walk, South Bank",2024-03-08,"Bankside Mix, Bankside",4m 2s,242015,2024-03-08 19:22:00,2024-03-08 19:26:00
137766233,2024-03-08,"Hop Exchange, The Borough",2024-03-08,"Stamford Street, South Bank",4m 48s,288105,2024-03-08 18:24:00,2024-03-08 18:29:00
137766037,2024-03-08,"Hop Exchange, The Borough",2024-03-08,"Bethnal Green Road, Shoreditch",11m 13s,673649,2024-03-08 18:18:00,2024-03-08 18:29:00
137766040,2024-03-08,"Hop Exchange, The Borough",2024-03-08,"Bethnal Green Road, Shoreditch",11m 6s,666383,2024-03-08 18:18:00,2024-03-08 18:29:00
137764083,2024-03-08,"Hop Exchange, The Borough",2024-03-08,"Bath Street, St. Luke's",13m 25s,805262,2024-03-08 17:24:00,2024-03-08 17:38:00
137762789,2024-03-08,"Hop Exchange, The Borough",2024-03-08,"Bethnal Green Road, Shoreditch",21m 36s,1296839,2024-03-08 16:48:00,2024-03-08 17:09:00
137762798,2024-03-08,"Hop Exchange, The Borough",2024-03-08,"Bethnal Green Road, Shoreditch",21m 25s,1285207,2024-03-08 16:48:00,2024-03-08 17:09:00
137762655,2024-03-08,"Hop Exchange, The Borough",2024-03-08,"Stamford Street, South Bank",5m 32s,332270,2024-03-08 16:43:00,2024-03-08 16:49:00
