Origin,Destination,Distance_km
"Bankside Mix, Bankside","Bankside Mix, Bankside",0.0
"Bankside Mix, Bankside","Bath Street, St. Luke's",2.3239
"Bankside Mix, Bankside","Bethnal Green Road, Shoreditch",2.651
"Bankside Mix, Bankside","Godliman Street, St. Paul's",0.7448
"Bankside Mix, Bankside","Golden Lane, Barbican",1.8149
"Bankside Mix, Bankside","Gower Place , Euston",3.2441
"Bankside Mix, Bankside","Hampstead Road, Euston",3.4265
"Bankside Mix, Bankside","Hop Exchange, The Borough",0.5971
"Bankside Mix, Bankside","Milroy Walk, South Bank",0.4478
"Bankside Mix, Bankside","New Kent Road, The Borough",1.3618
"Bankside Mix, Bankside","Scala Street, Fitzrovia",2.9348
"Bankside Mix, Bankside","Stamford Street, South Bank",0.7909
"Bankside Mix, Bankside","Tachbrook Street, Victoria",3.0508
"Bankside Mix, Bankside","Union Street, The Borough",0.2641
"Bankside Mix, Bankside","Warwick Row, Westminster",3.0858
"Bath Street, St. Luke's","Bankside Mix, Bankside",2.3239
"Bath Street, St. Luke's","Bath Street, St. Luke's",0.0
"Bath Street, St. Luke's","Bethnal Green Road, Shoreditch",1.141
"Bath Street, St. Luke's","Godliman Street, St. Paul's",1.5976
"Bath Street, St. Luke's","Golden Lane, Barbican",0.5248
"Bath Street, St. Luke's","Gower Place , Euston",3.0685
"Bath Street, St. Luke's","Hampstead Road, Euston",3.2783
"Bath Street, St. Luke's","Hop Exchange, The Borough",2.3655
"Bath Street, St. Luke's","Milroy Walk, South Bank",2.3311
"Bath Street, St. Luke's","New Kent Road, The Borough",3.5008
"Bath Street, St. Luke's","Scala Street, Fitzrovia",3.1965
"Bath Street, St. Luke's","Stamford Street, South Bank",2.6778
"Bath Street, St. Luke's","Tachbrook Street, Victoria",4.9925
"Bath Street, St. Luke's","Union Street, The Borough",2.5252
"Bath Street, St. Luke's","Warwick Row, Westminster",4.7568
"Bethnal Green Road, Shoreditch","Bankside Mix, Bankside",2.651
"Bethnal Green Road, Shoreditch","Bath Street, St. Luke's",1.141
"Bethnal Green Road, Shoreditch","Bethnal Green Road, Shoreditch",0.0
"Bethnal Green Road, Shoreditch","Godliman Street, St. Paul's",2.0948
"Bethnal Green Road, Shoreditch","Golden Lane, Barbican",1.3806
"Bethnal Green Road, Shoreditch","Gower Place , Euston",4.1847
"Bethnal Green Road, Shoreditch","Hampstead Road, Euston",4.3965
"Bethnal Green Road, Shoreditch","Hop Exchange, The Borough",2.4208
"Bethnal Green Road, Shoreditch","Milroy Walk, South Bank",2.8413
"Bethnal Green Road, Shoreditch","New Kent Road, The Borough",3.483
"Bethnal Green Road, Shoreditch","Scala Street, Fitzrovia",4.2604
"Bethnal Green Road, Shoreditch","Stamford Street, South Bank",3.2472
"Bethnal Green Road, Shoreditch","Tachbrook Street, Victoria",5.6283
"Bethnal Green Road, Shoreditch","Union Street, The Borough",2.7614
"Bethnal Green Road, Shoreditch","Warwick Row, Westminster",5.5149
"Godliman Street, St. Paul's","Bankside Mix, Bankside",0.7448
"Godliman Street, St. Paul's","Bath Street, St. Luke's",1.5976
"Godliman Street, St. Paul's","Bethnal Green Road, Shoreditch",2.0948
"Godliman Street, St. Paul's","Godliman Street, St. Paul's",0.0
"Godliman Street, St. Paul's","Golden Lane, Barbican",1.0795
"Godliman Street, St. Paul's","Gower Place , Euston",2.8686
"Godliman Street, St. Paul's","Hampstead Road, Euston",3.0698
"Godliman Street, St. Paul's","Hop Exchange, The Borough",1.0116
"Godliman Street, St. Paul's","Milroy Walk, South Bank",0.762
"Godliman Street, St. Paul's","New Kent Road, The Borough",2.0525
"Godliman Street, St. Paul's","Scala Street, Fitzrovia",2.6836
"Godliman Street, St. Paul's","Stamford Street, South Bank",1.1556
"Godliman Street, St. Paul's","Tachbrook Street, Victoria",3.5359
"Godliman Street, St. Paul's","Union Street, The Borough",0.9791
"Godliman Street, St. Paul's","Warwick Row, Westminster",3.4341
"Golden Lane, Barbican","Bankside Mix, Bankside",1.8149
"Golden Lane, Barbican","Bath Street, St. Luke's",0.5248
"Golden Lane, Barbican","Bethnal Green Road, Shoreditch",1.3806
"Golden Lane, Barbican","Godliman Street, St. Paul's",1.0795
"Golden Lane, Barbican","Golden Lane, Barbican",0.0
"Golden Lane, Barbican","Gower Place , Euston",2.8432
"Golden Lane, Barbican","Hampstead Road, Euston",3.0565
"Golden Lane, Barbican","Hop Exchange, The Borough",1.9128
"Golden Lane, Barbican","Milroy Walk, South Bank",1.8065
"Golden Lane, Barbican","New Kent Road, The Borough",3.0388
"Golden Lane, Barbican","Scala Street, Fitzrovia",2.883
"Golden Lane, Barbican","Stamford Street, South Bank",2.1545
"Golden Lane, Barbican","Tachbrook Street, Victoria",4.4818
"Golden Lane, Barbican","Union Street, The Borough",2.0273
"Golden Lane, Barbican","Warwick Row, Westminster",4.27
"Gower Place , Euston","Bankside Mix, Bankside",3.2441
"Gower Place , Euston","Bath Street, St. Luke's",3.0685
"Gower Place , Euston","Bethnal Green Road, Shoreditch",4.1847
"Gower Place , Euston","Godliman Street, St. Paul's",2.8686
"Gower Place , Euston","Golden Lane, Barbican",2.8432
"Gower Place , Euston","Gower Place , Euston",0.0
"Gower Place , Euston","Hampstead Road, Euston",0.2134
"Gower Place , Euston","Hop Exchange, The Borough",3.7778
