id,name,lat,long,capacity,EndofDayBikes
193,"Bankside Mix, Bankside",51.50581776,-0.100186337,5,3
119,"Bath Street, St. Luke's",51.52589324,-0.090847761,2,2
132,"Bethnal Green Road, Shoreditch",51.52364804,-0.074754872,3,2
48,"Godliman Street, St. Paul's",51.51248445,-0.099141408,2,2
54,"Golden Lane, Barbican",51.52174785,-0.094475072,3,2
65,"Gower Place , Euston",51.52522753,-0.13518856,2,2
98,"Hampstead Road, Euston",51.52554222,-0.138231303,5,3
194,"Hop Exchange, The Borough",51.50462759,-0.091773776,5,3
195,"Milroy Walk, South Bank",51.50724437,-0.106237501,3,2
156,"New Kent Road, The Borough",51.49443626,-0.092921165,3,2
13,"Scala Street, Fitzrovia",51.51991453,-0.136039674,2,2
197,"Stamford Street, South Bank",51.50556905,-0.111606696,3,2
148,"Tachbrook Street, Victoria",51.49211134,-0.138364847,2,2
196,"Union Street, The Borough",51.50368837,-0.098497684,2,2
316,"Warwick Row, Westminster",51.497998,-0.14296064,2,2
